stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,nom_arrondissement_communes,code_insee_commune,longitude,latitude
7011,Las Cases - Bourgogne,True,22,7,15,13,2,True,True,2023-12-03T13:00:24+00:00,Paris,,2.3185685276985,48.859091104741
7018,Ségur - d'Estrées,True,19,5,13,11,2,True,True,2023-12-03T13:01:16+00:00,Paris,,2.3097044974566,48.851419978983
9106,Boudreau - Auber,True,14,0,14,10,4,True,True,2023-12-03T13:00:23+00:00,Paris,,2.329423,48.87219
21323,Charlot - Stade Gabriel Voisin,True,31,5,25,23,2,True,True,2023-12-03T13:01:02+00:00,Issy-les-Moulineaux,,2.268122527474,48.827228120536
8201,Arsène Houssaye - Friedland,True,29,26,3,0,3,True,True,2023-12-03T12:52:10+00:00,Paris,,2.2994716674148,48.874510616163
17040,Pereire - Ternes,True,48,46,2,0,2,True,True,2023-12-03T12:58:50+00:00,Paris,,2.288012132048607,48.87973954830735
1001,Quai de l'Horloge - Pont Neuf,True,17,3,12,9,3,True,True,2023-12-03T13:00:41+00:00,Paris,,2.3417982839439,48.857058739111
31103,Gare Rosny-Bois-Perrier,True,36,12,21,2,19,True,True,2023-12-03T12:59:51+00:00,Rosny-sous-Bois,,2.480436824262142,48.88115023337061
15112,Vigée-Lebrun - Anselme Payen,True,24,22,2,0,2,True,True,2023-12-03T12:59:58+00:00,Paris,,2.3110422492027287,48.838683941628375
31706,Château - République,True,26,17,9,2,7,True,True,2023-12-03T12:56:00+00:00,Bagnolet,,2.4155035614967,48.862923800596
22409,Henri Barbusse - Stalingrad,True,16,5,11,5,6,True,True,2023-12-03T12:55:19+00:00,Malakoff,,2.2872862592339516,48.814183748660554
5020,Institut du Monde Arabe - Saint-Germain,True,40,5,32,21,11,True,True,2023-12-03T13:01:11+00:00,Paris,,2.3558086529374,48.849063299501
19015,Thionville - Ourcq,True,24,21,2,2,0,True,True,2023-12-03T12:51:21+00:00,Paris,,2.3833653330802917,48.88917613743794
17004,Legendre - Clichy,True,40,36,4,2,2,True,True,2023-12-03T12:58:35+00:00,Paris,,2.322528975094376,48.88896161855884
12151,Gare de Lyon - Place Louis Armand,True,60,8,48,40,8,True,True,2023-12-03T13:00:47+00:00,Paris,,2.3726498446286,48.845515089794
92007,Pesaro - Préfecture,True,22,20,2,1,1,True,True,2023-12-03T12:54:18+00:00,Nanterre,,2.223908342421055,48.89577046284005
9028,Moncey - Blanche,True,17,16,1,1,0,True,True,2023-12-03T12:57:04+00:00,Paris,,2.3310810327529907,48.88006587474148
10107,Gare du Nord - Hôpital Lariboisière,True,49,46,3,0,3,True,True,2023-12-03T12:57:59+00:00,Paris,,2.352339,48.881949
